
Host: sophon

Timers On : Sat Feb  4 17:10:33 2023
Timers Off: Sat Feb  4 17:15:17 2023

Wall Time:      284.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.033s      0.139w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.139w      9 calls
DFH: initialize()                   :      0.083u      0.000s      0.201w      3 calls
DFH: AO Construction                :      0.033u      0.000s      0.022w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.200u      0.017s      0.218w      3 calls
SAD Guess                           :      0.183u      0.017s      0.213w      3 calls
HF: Form G                          :      0.017u      0.000s      0.006w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     27 calls
JK: JK                              :      0.017u      0.000s      0.004w     27 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.004w     27 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     27 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     27 calls
DFH: compute_K                      :      0.017u      0.000s      0.002w     27 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.117u      0.000s      0.095w     24 calls
HF: Form C                          :      0.033u      0.000s      0.007w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.033s      0.139w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.125w      3 calls
DFH: initialize()                   :      0.083u      0.000s      0.201w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      6 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.200u      0.017s      0.218w      3 calls
| SAD Guess                         :      0.183u      0.017s      0.213w      3 calls
HF: Form G                          :      0.017u      0.000s      0.006w     27 calls
| JK: D                             :      0.000u      0.000s      0.000w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     27 calls
| JK: JK                            :      0.017u      0.000s      0.004w     27 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.004w     27 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     27 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     27 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.002w     27 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.117u      0.000s      0.095w     24 calls
HF: Form C                          :      0.033u      0.000s      0.007w     24 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 12:34:53 2023
Timers Off: Sun Feb  5 12:59:38 2023

Wall Time:     1484.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.033s      0.057w     10 calls
Libint2ERI::Libint2ERI              :      0.050u      0.033s      0.059w     32 calls
DFH: initialize()                   :      0.200u      0.017s      0.131w     10 calls
DFH: AO Construction                :      0.017u      0.000s      0.023w     10 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.003w     10 calls
HF: Form core H                     :      0.017u      0.000s      0.026w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     10 calls
HF: Guess                           :      0.633u      0.033s      0.413w     10 calls
SAD Guess                           :      0.533u      0.033s      0.395w     10 calls
HF: Form G                          :      0.000u      0.000s      0.016w     84 calls
JK: D                               :      0.000u      0.000s      0.001w     84 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     84 calls
JK: JK                              :      0.000u      0.000s      0.010w     84 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.010w     84 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     84 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w     84 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w     84 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     84 calls
HF: Form F                          :      0.017u      0.000s      0.001w     84 calls
HF: Form D                          :      0.000u      0.000s      0.000w     84 calls
HF: DIIS                            :      0.350u      0.017s      0.235w     74 calls
HF: Form C                          :      0.067u      0.000s      0.022w     74 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.005w      1 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.002w      1 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia                           :      0.017u      0.000s      0.008w      1 calls
DFMP2 Metric                        :      0.017u      0.000s      0.008w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      1 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.000w      1 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.000w      1 calls
DFMP2 Energy                        :      0.000u      0.000s      0.001w      1 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.033s      0.057w     10 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.033s      0.034w     10 calls
DFH: initialize()                   :      0.200u      0.017s      0.131w     10 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.024w     20 calls
| DFH: AO Construction              :      0.017u      0.000s      0.023w     10 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.003w     10 calls
HF: Form core H                     :      0.017u      0.000s      0.026w     10 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     10 calls
HF: Guess                           :      0.633u      0.033s      0.413w     10 calls
| SAD Guess                         :      0.533u      0.033s      0.395w     10 calls
HF: Form G                          :      0.000u      0.000s      0.016w     84 calls
| JK: D                             :      0.000u      0.000s      0.001w     84 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     84 calls
| JK: JK                            :      0.000u      0.000s      0.010w     84 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.010w     84 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     84 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w     84 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w     84 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     84 calls
HF: Form F                          :      0.017u      0.000s      0.001w     84 calls
HF: Form D                          :      0.000u      0.000s      0.000w     84 calls
HF: DIIS                            :      0.350u      0.017s      0.235w     74 calls
HF: Form C                          :      0.067u      0.000s      0.022w     74 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.000u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (A|mn)                      :      0.000u      0.000s      0.002w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.000w      1 calls
